source_file,sale_id,store_id,sale_date,gross_amount,tax_amount,channel
2026-07-01,SL-1001,ST-03,2026-07-01,264.35,22.76,online
2026-07-01,SL-1002,ST-05,2026-07-01,47.95,3.22,in_store
2026-07-01,SL-1003,ST-05,2026-07-01,412.00,28.00,online
2026-07-01,SL-1004,ST-02,2026-07-01,70.93,5.76,in_store
2026-07-01,SL-1005,ST-05,2026-07-01,108.75,8.06,in_store
2026-07-01,SL-1006,ST-03,2026-07-01,44.92,3.24,in_store
2026-07-01,SL-1007,ST-01,2026-07-01,92.61,6.37,online
2026-07-01,SL-1008,ST-02,2026-07-01,283.92,18.21,in_store
2026-07-01,SL-1009,ST-05,2026-07-01,83.93,6.49,online
2026-07-01,SL-1010,ST-01,2026-07-01,332.42,25.53,in_store
2026-07-01,SL-1011,ST-02,2026-07-01,259.98,18.11,phone
2026-07-01,SL-1012,ST-05,2026-07-01,197.12,15.23,in_store
2026-07-01,SL-1013,ST-02,2026-07-01,372.59,29.47,in_store
2026-07-01,SL-1014,ST-01,2026-07-01,301.19,26.32,online
2026-07-01,SL-1015,ST-01,2026-07-01,315.17,26.24,online
2026-07-01,SL-1016,ST-01,2026-07-01,219.64,18.79,online
2026-07-01,SL-1017,ST-03,2026-07-01,184.34,11.84,in_store
2026-07-01,SL-1018,ST-05,2026-07-01,385.98,32.30,in_store
2026-07-01,SL-1019,ST-01,2026-07-01,24.45,1.84,online
2026-07-01,SL-1020,ST-02,2026-07-01,345.16,29.97,online
2026-07-01,SL-1021,ST-05,2026-07-01,354.03,22.27,online
2026-07-01,SL-1022,ST-05,2026-07-01,418.11,31.64,online
2026-07-02,SL-1023,ST-05,2026-07-02,52.26,4.37,online
2026-07-02,SL-1024,ST-03,2026-07-02,310.73,19.73,online
2026-07-02,SL-1025,ST-04,2026-07-02,411.69,28.61,in_store
2026-07-02,SL-1026,ST-05,2026-07-02,78.63,5.97,in_store
2026-07-02,SL-1027,ST-02,2026-07-02,150.76,11.89,phone
2026-07-02,SL-1028,ST-04,2026-07-02,31.81,2.74,in_store
2026-07-02,SL-1029,ST-05,2026-07-02,193.98,14.94,online
2026-07-02,SL-1030,ST-01,2026-07-02,133.92,9.11,in_store
2026-07-02,SL-1031,ST-02,2026-07-02,338.94,30.06,in_store
2026-07-02,SL-1032,ST-05,2026-07-02,207.23,13.59,in_store
2026-07-02,SL-1033,ST-03,2026-07-02,285.28,17.26,in_store
2026-07-02,SL-1034,ST-01,2026-07-02,297.50,25.62,online
2026-07-02,SL-1035,ST-02,2026-07-02,229.56,19.92,phone
2026-07-02,SL-1036,ST-01,2026-07-02,163.38,12.30,online
2026-07-02,SL-1037,ST-04,2026-07-02,28.07,1.73,in_store
2026-07-02,SL-1038,ST-01,2026-07-02,274.51,22.18,online
2026-07-02,SL-1039,ST-05,2026-07-02,369.26,24.80,in_store
2026-07-02,SL-1040,ST-01,2026-07-02,202.02,16.61,online
2026-07-02,SL-1041,ST-01,2026-07-02,343.23,23.87,phone
2026-07-02,SL-1042,ST-05,2026-07-02,48.63,3.62,online
2026-07-02,SL-1043,ST-05,2026-07-02,341.01,29.50,in_store
2026-07-02,SL-1044,ST-03,2026-07-02,283.49,17.81,online
2026-07-02,SL-1045,ST-05,2026-07-02,258.30,19.97,in_store
2026-07-02,SL-1046,ST-05,2026-07-02,308.72,19.70,online
2026-07-02,SL-1047,ST-04,2026-07-02,66.44,4.50,online
2026-07-02,SL-1048,ST-03,2026-07-02,326.97,27.27,online
2026-07-02,SL-1049,ST-04,2026-07-02,384.69,30.84,in_store
2026-07-02,SL-1050,ST-01,2026-07-02,139.77,9.18,in_store
2026-07-03,SL-1051,ST-01,2026-07-03,108.31,7.78,online
2026-07-03,SL-1052,ST-05,2026-07-03,221.29,14.56,online
2026-07-03,SL-1053,ST-05,2026-07-03,133.17,9.02,in_store
2026-07-03,SL-1054,ST-03,2026-07-03,48.77,3.38,online
2026-07-03,SL-1055,ST-02,2026-07-03,413.42,26.28,online
2026-07-03,SL-1056,ST-01,2026-07-03,139.56,8.56,phone
2026-07-03,SL-1057,ST-01,2026-07-03,166.20,11.16,phone
2026-07-03,SL-1058,ST-04,2026-07-03,393.27,28.34,online
2026-07-03,SL-1059,ST-01,2026-07-03,415.89,27.57,online
2026-07-03,SL-1060,ST-02,2026-07-03,314.07,21.21,in_store
2026-07-03,SL-1061,ST-02,2026-07-03,116.03,9.30,online
2026-07-03,SL-1062,ST-03,2026-07-03,67.54,4.70,online
2026-07-03,SL-1063,ST-03,2026-07-03,376.99,25.93,phone
2026-07-03,SL-1064,ST-02,2026-07-03,396.06,31.51,online
2026-07-03,SL-1065,ST-05,2026-07-03,323.61,28.12,phone
2026-07-03,SL-1066,ST-01,2026-07-03,172.58,11.80,in_store
2026-07-03,SL-1067,ST-05,2026-07-03,410.41,28.46,in_store
2026-07-03,SL-1068,ST-03,2026-07-03,366.46,23.03,online
2026-07-03,SL-1069,ST-03,2026-07-03,98.32,8.10,online
